"BandID","FirstName","LastName","DateOfBirth"
43,"Axel","Rose","1962-02-06 00:00:00.000"
43,"Steven","Adler","1965-01-22 00:00:00.000"
43,"Izzy","Stradlin","1962-04-08 00:00:00.000"
43,"Slash","Hudson","1965-07-23 00:00:00.000"
43,"Duff","McKagan","1964-02-05 00:00:00.000"
44,"Steven","Morrissey","1959-05-22 00:00:00.000"
44,"Johnny","Marr","1963-10-31 00:00:00.000"
44,"Andy","Rourke","1964-01-17 00:00:00.000"
44,"Mike","Joyce","1963-06-01 00:00:00.000"
46,"John","Kiffmeyer","1969-07-11 00:00:00.000"
46,"Billy Joe","Armstrong","1972-02-17 00:00:00.000"
46,"Mike","Dint","1972-05-04 00:00:00.000"
47,"Scott","Raynor","1978-05-23 00:00:00.000"
47,"Mark","Hoppus","1972-03-15 00:00:00.000"
47,"Tom","DeLonge","1975-12-13 00:00:00.000"
48,"Danny","McNamara","1970-12-31 00:00:00.000"
48,"Richard","McNamara","1972-10-23 00:00:00.000"
48,"Steve","Firth","1965-02-02 00:00:00.000"
48,"Mike","Heaton","1967-09-18 00:00:00.000"
48,"Mickey","Dale","1968-03-22 00:00:00.000"
49,"Michael","Stipe","1960-01-04 00:00:00.000"
49,"Bill","Berry","1958-07-13 00:00:00.000"
49,"Peter","Buck","1956-12-06 00:00:00.000"
49,"Mike","Mills","1958-12-17 00:00:00.000"
50,"Bono","NULL","1960-05-10 00:00:00.000"
50,"The Edge","NULL","1961-08-08 00:00:00.000"
50,"Adam","Clayton","1960-03-13 00:00:00.000"
50,"Larry","Mullen","1961-10-31 00:00:00.000"
51,"Black","Francis","1965-04-06 00:00:00.000"
51,"Joey","Santiago","1965-06-10 00:00:00.000"
51,"Kim","Deal","1961-06-10 00:00:00.000"
51,"David","Lovering","1961-12-06 00:00:00.000"
52,"Simon","Fowler","1965-04-26 00:00:00.000"
52,"Steve","Cradock","1969-08-22 00:00:00.000"
52,"Oscar","Harrison","1965-04-15 00:00:00.000"
52,"Damon","Minchella","1969-06-01 00:00:00.000"
53,"Adam","Levine","1979-03-18 00:00:00.000"
53,"Jesse","Carmichael","1979-04-02 00:00:00.000"
53,"Michael","Madden","1979-05-13 00:00:00.000"
53,"James","Valentine","1978-10-05 00:00:00.000"
53,"Ryan","Dusick","1977-09-19 00:00:00.000"
54,"Tony","Chaplin","1979-03-08 00:00:00.000"
54,"Tim","Rice-Oxley","1976-06-02 00:00:00.000"
54,"Richard","Hughes","1975-09-08 00:00:00.000"
55,"Grant","Nicholas","1967-11-12 00:00:00.000"
55,"Taka","Hirose","1967-07-22 00:00:00.000"
55,"Jon","Lee","1968-03-25 00:00:00.000"
56,"Gaz","Coombes","1976-03-08 00:00:00.000"
56,"Danny","Goffey","1974-02-07 00:00:00.000"
56,"Mick","Quinn","1969-12-17 00:00:00.000"
57,"Brian","Molko","1972-12-10 00:00:00.000"
57,"Stefan","Olsdal","1974-03-31 00:00:00.000"
57,"Robert","Schultzberg","NULL"
58,"Flea","NULL","1962-10-16 00:00:00.000"
58,"Anthony","Kiedis","1962-11-01 00:00:00.000"
58,"Cliff","Martinez","1954-02-05 00:00:00.000"
58,"Jack","Sherman","1956-01-18 00:00:00.000"
59,"Perry","Farrell","1959-03-29 00:00:00.000"
59,"Dave","Navarro","1967-06-07 00:00:00.000"
59,"Eric","Avery","1965-04-25 00:00:00.000"
59,"Stephen","Perkins","1967-09-13 00:00:00.000"
60,"Brett","Anderson","1967-09-29 00:00:00.000"
60,"Bernard","Butler","1970-05-01 00:00:00.000"
60,"Mat","Osman","1967-10-09 00:00:00.000"
60,"Simon","Gilbert","1965-05-23 00:00:00.000"
61,"Gary","Lightbody","1976-06-15 00:00:00.000"
61,"Mark","McCelland","1976-03-30 00:00:00.000"
61,"Jonny","Quinn","1972-02-23 00:00:00.000"
