Title,ReleaseDate,FirstName,LastName,DateOfBirth,Band
Psychocandy,1985-11-01 00:00:00.000,William,Reid,1958-10-28 00:00:00.000,The Jesus And Mary Chain
Psychocandy,1985-11-01 00:00:00.000,Douglas,Hart,NA,The Jesus And Mary Chain
Psychocandy,1985-11-01 00:00:00.000,Bobby,Gillespie,1962-06-22 00:00:00.000,The Jesus And Mary Chain
Smile,1990-07-01 00:00:00.000,Andy,Bell,1970-08-11 00:00:00.000,Ride
Smile,1990-07-01 00:00:00.000,Laurence,Colbert,NA,Ride
Smile,1990-07-01 00:00:00.000,Mark,Gardener,1969-12-06 00:00:00.000,Ride
Smile,1990-07-01 00:00:00.000,Steve,Queralt,NA,Ride
A Storm in Heaven,1993-06-21 00:00:00.000,Richard,Ashcroft,1971-09-11 00:00:00.000,The Verve
A Storm in Heaven,1993-06-21 00:00:00.000,Nick,McCabe,1971-07-14 00:00:00.000,The Verve
A Storm in Heaven,1993-06-21 00:00:00.000,Simon,Jones,1972-05-29 00:00:00.000,The Verve
A Storm in Heaven,1993-06-21 00:00:00.000,Peter,Salisbury,1971-09-24 00:00:00.000,The Verve
A Storm in Heaven,1993-06-21 00:00:00.000,Simon,Tong,1972-07-09 00:00:00.000,The Verve
Appetite for Destruction,1987-07-21 00:00:00.000,Axel,Rose,1962-02-06 00:00:00.000,Guns and Roses
Appetite for Destruction,1987-07-21 00:00:00.000,Steven,Adler,1965-01-22 00:00:00.000,Guns and Roses
Appetite for Destruction,1987-07-21 00:00:00.000,Izzy,Stradlin,1962-04-08 00:00:00.000,Guns and Roses
Appetite for Destruction,1987-07-21 00:00:00.000,Slash,Hudson,1965-07-23 00:00:00.000,Guns and Roses
Appetite for Destruction,1987-07-21 00:00:00.000,Duff,McKagan,1964-02-05 00:00:00.000,Guns and Roses
The Smiths,1984-02-20 00:00:00.000,Steven,Morrissey,1959-05-22 00:00:00.000,The Smiths
The Smiths,1984-02-20 00:00:00.000,Johnny,Marr,1963-10-31 00:00:00.000,The Smiths
The Smiths,1984-02-20 00:00:00.000,Andy,Rourke,1964-01-17 00:00:00.000,The Smiths
The Smiths,1984-02-20 00:00:00.000,Mike,Joyce,1963-06-01 00:00:00.000,The Smiths
39/Smooth,1990-04-13 00:00:00.000,John,Kiffmeyer,1969-07-11 00:00:00.000,Green Day
39/Smooth,1990-04-13 00:00:00.000,Billy Joe,Armstrong,1972-02-17 00:00:00.000,Green Day
39/Smooth,1990-04-13 00:00:00.000,Mike,Dint,1972-05-04 00:00:00.000,Green Day
Cheshire Cat,1994-02-17 00:00:00.000,Scott,Raynor,1978-05-23 00:00:00.000,Blink 182
Cheshire Cat,1994-02-17 00:00:00.000,Mark,Hoppus,1972-03-15 00:00:00.000,Blink 182
Cheshire Cat,1994-02-17 00:00:00.000,Tom,DeLonge,1975-12-13 00:00:00.000,Blink 182
The Good Will Out,1998-07-28 00:00:00.000,Danny,McNamara,1970-12-31 00:00:00.000,Embrace
The Good Will Out,1998-07-28 00:00:00.000,Richard,McNamara,1972-10-23 00:00:00.000,Embrace
The Good Will Out,1998-07-28 00:00:00.000,Steve,Firth,1965-02-02 00:00:00.000,Embrace
The Good Will Out,1998-07-28 00:00:00.000,Mike,Heaton,1967-09-18 00:00:00.000,Embrace
The Good Will Out,1998-07-28 00:00:00.000,Mickey,Dale,1968-03-22 00:00:00.000,Embrace
Murmur,1983-04-13 00:00:00.000,Michael,Stipe,1960-01-04 00:00:00.000,R.E.M.
Murmur,1983-04-13 00:00:00.000,Bill,Berry,1958-07-13 00:00:00.000,R.E.M.
Murmur,1983-04-13 00:00:00.000,Peter,Buck,1956-12-06 00:00:00.000,R.E.M.
Murmur,1983-04-13 00:00:00.000,Mike,Mills,1958-12-17 00:00:00.000,R.E.M.
Boy,1980-10-20 00:00:00.000,Bono,NA,1960-05-10 00:00:00.000,U2
Boy,1980-10-20 00:00:00.000,The Edge,NA,1961-08-08 00:00:00.000,U2
Boy,1980-10-20 00:00:00.000,Adam,Clayton,1960-03-13 00:00:00.000,U2
Boy,1980-10-20 00:00:00.000,Larry,Mullen,1961-10-31 00:00:00.000,U2
Surfer Rosa,1988-03-21 00:00:00.000,Black,Francis,1965-04-06 00:00:00.000,The Pixies
Surfer Rosa,1988-03-21 00:00:00.000,Joey,Santiago,1965-06-10 00:00:00.000,The Pixies
Surfer Rosa,1988-03-21 00:00:00.000,Kim,Deal,1961-06-10 00:00:00.000,The Pixies
Surfer Rosa,1988-03-21 00:00:00.000,David,Lovering,1961-12-06 00:00:00.000,The Pixies
Ocean Colour Scene,1992-03-01 00:00:00.000,Simon,Fowler,1965-04-26 00:00:00.000,Ocean Colour Scene
Ocean Colour Scene,1992-03-01 00:00:00.000,Steve,Cradock,1969-08-22 00:00:00.000,Ocean Colour Scene
Ocean Colour Scene,1992-03-01 00:00:00.000,Oscar,Harrison,1965-04-15 00:00:00.000,Ocean Colour Scene
Ocean Colour Scene,1992-03-01 00:00:00.000,Damon,Minchella,1969-06-01 00:00:00.000,Ocean Colour Scene
Songs About Jane,2002-06-25 00:00:00.000,Adam,Levine,1979-03-18 00:00:00.000,Maroon 5
Songs About Jane,2002-06-25 00:00:00.000,Jesse,Carmichael,1979-04-02 00:00:00.000,Maroon 5
Songs About Jane,2002-06-25 00:00:00.000,Michael,Madden,1979-05-13 00:00:00.000,Maroon 5
Songs About Jane,2002-06-25 00:00:00.000,James,Valentine,1978-10-05 00:00:00.000,Maroon 5
Songs About Jane,2002-06-25 00:00:00.000,Ryan,Dusick,1977-09-19 00:00:00.000,Maroon 5
Hopes and Fears,2004-05-10 00:00:00.000,Tony,Chaplin,1979-03-08 00:00:00.000,Keane
Hopes and Fears,2004-05-10 00:00:00.000,Tim,Rice-Oxley,1976-06-02 00:00:00.000,Keane
Hopes and Fears,2004-05-10 00:00:00.000,Richard,Hughes,1975-09-08 00:00:00.000,Keane
Polythene,1997-05-19 00:00:00.000,Grant,Nicholas,1967-11-12 00:00:00.000,Feeder
Polythene,1997-05-19 00:00:00.000,Taka,Hirose,1967-07-22 00:00:00.000,Feeder
Polythene,1997-05-19 00:00:00.000,Jon,Lee,1968-03-25 00:00:00.000,Feeder
I Should Coco,1995-05-15 00:00:00.000,Gaz,Coombes,1976-03-08 00:00:00.000,Supergrass
I Should Coco,1995-05-15 00:00:00.000,Danny,Goffey,1974-02-07 00:00:00.000,Supergrass
I Should Coco,1995-05-15 00:00:00.000,Mick,Quinn,1969-12-17 00:00:00.000,Supergrass
Placebo,1996-07-16 00:00:00.000,Brian,Molko,1972-12-10 00:00:00.000,Placebo
Placebo,1996-07-16 00:00:00.000,Stefan,Olsdal,1974-03-31 00:00:00.000,Placebo
Placebo,1996-07-16 00:00:00.000,Robert,Schultzberg,NA,Placebo
The Red Hot Chili Peppers,1984-08-10 00:00:00.000,Flea,NA,1962-10-16 00:00:00.000,Red Hot Chili Peppers
The Red Hot Chili Peppers,1984-08-10 00:00:00.000,Anthony,Kiedis,1962-11-01 00:00:00.000,Red Hot Chili Peppers
The Red Hot Chili Peppers,1984-08-10 00:00:00.000,Cliff,Martinez,1954-02-05 00:00:00.000,Red Hot Chili Peppers
The Red Hot Chili Peppers,1984-08-10 00:00:00.000,Jack,Sherman,1956-01-18 00:00:00.000,Red Hot Chili Peppers
Nothing's Shocking,1988-08-23 00:00:00.000,Perry,Farrell,1959-03-29 00:00:00.000,Janes Addiction
Nothing's Shocking,1988-08-23 00:00:00.000,Dave,Navarro,1967-06-07 00:00:00.000,Janes Addiction
Nothing's Shocking,1988-08-23 00:00:00.000,Eric,Avery,1965-04-25 00:00:00.000,Janes Addiction
Nothing's Shocking,1988-08-23 00:00:00.000,Stephen,Perkins,1967-09-13 00:00:00.000,Janes Addiction
Suede,1993-03-29 00:00:00.000,Brett,Anderson,1967-09-29 00:00:00.000,Suede
Suede,1993-03-29 00:00:00.000,Bernard,Butler,1970-05-01 00:00:00.000,Suede
Suede,1993-03-29 00:00:00.000,Mat,Osman,1967-10-09 00:00:00.000,Suede
Suede,1993-03-29 00:00:00.000,Simon,Gilbert,1965-05-23 00:00:00.000,Suede
Songs for Polarbears,1998-08-31 00:00:00.000,Gary,Lightbody,1976-06-15 00:00:00.000,Snow Patrol
Songs for Polarbears,1998-08-31 00:00:00.000,Mark,McCelland,1976-03-30 00:00:00.000,Snow Patrol
Songs for Polarbears,1998-08-31 00:00:00.000,Jonny,Quinn,1972-02-23 00:00:00.000,Snow Patrol
